"bed","dauer.t2","case","ok.2","swb1.t2","swb2.t2","swb3.t2","swb4.t2","swb5.t2","swb6.t2","swb7.t2","swb8.t2","swb9.t2","swb10.t2","swb11.t2","swb12.t2","t1.t2","t2.t2","t3.t2","t4.t2","t5.t2","t6.t2","t7.t2","t8.t2","gbk1.t2","gbk2.t2","gbk3.t2","gbk4.t2","gbk5.t2","gbk6.t2","gbk8.t2","gbk9.t2","gbk10.t2","gbk11.t2","gbk12.t2","check.t2","gbk13.t2","gbk14.t2","gbk15.t2","gbk16.t2","gbk17.t2","gbk18.t2","sv1.t2","sv2.t2","sv3.t2","sv4.t2","sv5.t2","sv6.t2","sv7.t2","sv8.t2","sv9.t2","sv10.t2","sv11.t2","sv12.t2","sv13.t2","sv14.t2","sv15.t2","sv16.t2","sv17.t2","sv18.t2","so1.t2","so2.t2","so3.t2","so4.t2","so5.t2","so6.t2","so7.t2","so8.t2","so9.t2","so10.t2","so11.t2","so12.t2","so13.t2","sr1.t2","sr2.t2","sr3.t2","sr4.t2","sr5.t2","sr6.t2","sr7.t2","age.t2","gender.t2","edu.t2","income.t2","pol_orient.t2","DV6_Post","ok.t2","gender.t2.d"
0,670,30,1,4,4,4,4,4,4,1,1,2,1,2,1,1,5,1,5,5,5,5,1,6,3,1,1,1,6,2,5,2,5,6,4,7,7,7,1,1,1,7,7,7,7,7,7,7,7,7,4,7,5,5,4,5,7,6,7,4,3,5,1,5,2,4,3,4,5,3,4,4,2,3,2,3,2,6,7,20,1,3,3,4,3,1,1
0,801,57,1,4,4,4,3,4,4,1,2,2,3,1,2,3,2,4,2,3,4,2,3,6,5,2,1,1,6,1,6,1,1,5,4,6,3,2,3,3,2,7,7,7,7,6,6,6,7,6,6,6,6,6,6,6,5,5,5,3,3,4,2,4,5,4,4,4,4,4,4,4,3,2,2,2,2,7,6,39,1,6,6,42,3,1,1
0,103516,14,1,5,5,5,5,4,5,1,2,2,1,3,3,1,5,1,4,4,1,4,1,2,3,1,6,5,2,2,4,2,1,6,4,5,4,3,1,4,1,7,7,7,6,7,7,7,7,6,6,6,5,6,4,6,5,5,5,4,4,5,2,5,5,4,5,5,5,5,5,5,2,3,2,4,3,6,7,25,1,5,1,33,3,1,1
0,501,52,1,5,5,5,4,4,5,2,1,1,1,1,2,3,2,3,4,2,3,4,3,6,6,3,3,2,6,1,4,3,1,6,4,7,7,6,1,1,1,5,5,6,5,5,5,5,5,5,5,5,3,3,3,3,6,6,6,3,4,5,3,4,4,3,4,5,5,5,5,5,2,4,4,3,3,8,8,0,1,5,3,53,2,1,1
0,1310,65,1,4,4,4,3,3,4,3,2,1,3,1,3,4,3,2,3,3,2,3,2,6,4,3,2,4,6,2,4,4,4,5,4,5,5,5,2,4,3,7,7,7,7,7,7,7,7,7,6,6,6,6,5,4,4,4,4,4,4,5,2,3,5,4,5,4,4,4,4,4,4,4,4,4,4,6,7,61,1,2,6,21,1,1,1
0,574,53,1,3,3,3,2,3,3,3,4,3,4,2,3,2,4,1,5,4,2,4,2,6,4,3,1,3,5,2,6,2,1,5,4,5,5,5,5,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,3,3,2,3,3,4,3,4,5,4,4,3,3,4,4,4,3,4,2,3,2,8,8,28,1,4,1,21,2,1,1
0,264,17,1,3,4,4,4,4,4,2,1,1,1,2,2,4,1,3,4,2,5,4,4,6,6,2,1,2,6,5,5,3,2,6,4,6,6,6,1,2,1,6,6,6,6,6,6,7,7,5,7,6,7,7,7,6,6,4,5,5,5,4,2,5,5,4,5,5,5,5,5,5,3,4,2,1,2,6,7,26,1,6,1,1,2,1,1
0,412,82,1,4,3,4,3,2,3,3,3,3,2,3,3,3,2,3,2,2,4,3,3,5,3,3,1,1,5,2,4,3,1,4,4,6,6,5,2,1,1,6,6,6,6,6,6,7,7,7,7,7,2,3,2,2,5,5,4,3,1,4,4,4,3,2,5,4,4,4,4,4,2,2,4,3,2,6,6,22,1,3,2,17,1,1,1
0,764,73,1,4,4,4,3,3,4,2,2,2,2,3,2,3,3,2,3,3,3,4,2,5,4,3,3,3,5,4,4,4,3,5,4,4,5,5,5,4,3,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,4,3,5,3,4,5,3,4,3,3,4,4,3,3,3,3,4,2,6,7,31,1,4,2,50,3,1,1
0,442,77,1,4,5,4,4,4,4,1,2,2,1,2,1,2,4,2,4,4,1,4,2,6,3,3,1,1,6,4,5,3,1,5,4,7,7,6,2,2,5,5,5,7,6,5,5,6,6,6,3,5,7,4,6,7,6,6,6,3,4,3,2,5,2,4,4,4,4,4,5,4,2,4,4,4,2,6,8,28,1,5,1,34,1,1,1
0,1366,75,1,3,4,4,3,3,3,3,2,2,3,2,2,2,4,2,4,4,2,4,2,5,5,3,3,3,5,4,5,1,1,5,4,5,5,6,3,5,2,6,6,6,6,6,6,4,4,4,4,4,6,6,5,5,5,5,5,4,4,4,2,4,5,3,5,5,5,5,5,5,4,4,4,4,4,8,8,52,2,6,6,51,1,1,0
0,955,74,1,4,4,4,4,4,3,2,3,2,2,3,2,2,5,2,4,5,2,4,2,5,5,2,3,2,6,2,4,2,1,5,4,6,6,6,1,3,1,6,6,6,5,4,3,3,5,3,4,3,5,5,5,3,2,3,2,5,4,5,1,4,3,2,5,5,4,5,5,5,2,3,4,3,2,7,7,25,1,5,1,34,1,1,1
0,569,93,1,3,3,3,3,3,3,2,1,3,2,2,2,1,4,1,1,4,1,5,2,4,3,4,1,6,4,4,3,4,3,5,4,6,6,5,1,1,1,5,5,5,4,2,4,4,4,4,4,4,6,6,5,5,4,4,5,3,1,4,1,3,3,4,4,3,4,4,3,3,3,3,3,4,3,7,7,49,1,2,2,36,3,1,1
