"bed","dauer.t1","case","ok.t1","swb1.t1","swb2.t1","swb3.t1","swb4.t1","swb5.t1","swb6.t1","swb7.t1","swb8.t1","swb9.t1","swb10.t1","swb11.t1","swb12.t1","t1.t1","t2.t1","t3.t1","t4.t1","t5.t1","t6.t1","t7.t1","t8.t1","gbk1.t1","gbk2.t1","gbk3.t1","gbk4.t1","gbk5.t1","gbk6.t1","gbk8.t1","gbk9.t1","gbk10.t1","gbk11.t1","gbk12.t1","check.t1","gbk13.t1","gbk14.t1","gbk15.t1","gbk16.t1","gbk17.t1","gbk18.t1","sv1.t1","sv2.t1","sv3.t1","sv4.t1","sv5.t1","sv6.t1","sv7.t1","sv8.t1","sv9.t1","sv10.t1","sv11.t1","sv12.t1","sv13.t1","sv14.t1","sv15.t1","sv16.t1","sv17.t1","sv18.t1","so1.t1","so2.t1","so3.t1","so4.t1","so5.t1","so6.t1","so7.t1","so8.t1","so9.t1","so10.t1","so11.t1","so12.t1","so13.t1","sr1.t1","sr2.t1","sr3.t1","sr4.t1","sr5.t1","sr6.t1","sr7.t1","age.t1","gender.t1","edu.t1","income.t1","pol_orient.t1","gender.t1.d"
0,650,51,1,4,4,3,4,4,4,3,3,3,3,2,2,3,4,2,4,3,3,3,3,5,5,5,5,3,5,4,5,3,2,6,4,6,5,5,3,3,5,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,3,5,3,4,5,3,2,4,4,4,5,5,5,5,5,5,4,2,2,2,2,3,2,25,1,5,3,28,1
0,1485,52,1,5,5,5,5,5,5,1,1,1,2,1,1,1,5,1,5,5,2,5,1,6,3,1,5,5,3,1,4,4,1,6,4,7,7,7,1,2,1,5,6,5,4,3,6,5,5,3,6,5,3,3,3,3,2,5,6,3,4,4,3,3,4,3,4,4,5,5,4,4,2,1,1,2,1,3,2,0,1,5,3,50,1
0,698,53,1,3,3,2,2,3,3,3,4,3,4,4,3,2,3,2,4,4,1,5,1,5,1,2,2,1,5,1,2,1,3,3,4,5,5,6,5,1,5,7,6,6,6,6,6,6,6,6,6,6,6,5,4,5,2,3,3,3,2,5,4,4,4,4,2,2,4,4,4,4,4,2,4,2,4,4,4,28,1,4,4,23,1
1,1679,54,1,4,3,3,3,2,3,4,4,4,3,2,3,3,2,3,2,2,3,3,1,6,6,1,2,3,6,4,6,1,1,6,4,6,6,6,2,6,7,7,7,7,5,5,7,7,7,7,7,7,5,6,5,6,5,2,2,4,3,4,2,5,3,4,3,5,5,5,5,5,1,2,1,3,1,2,2,25,1,6,4,17,1
1,1086,55,1,2,3,3,2,1,2,3,2,1,4,1,1,3,3,4,3,1,3,3,2,5,4,5,2,1,4,2,4,1,1,6,4,2,2,3,6,4,1,7,7,7,7,7,7,5,5,6,5,6,6,7,4,6,4,2,5,5,5,1,3,5,1,4,3,5,5,5,5,5,1,2,4,2,1,4,4,37,2,6,5,35,0
1,1343,56,1,3,4,4,3,2,4,2,2,3,3,3,2,3,3,1,4,4,4,2,2,5,3,2,1,2,4,2,5,1,1,6,4,2,5,3,3,5,2,6,6,6,7,6,6,6,6,4,4,6,2,6,5,5,3,2,2,5,4,4,2,4,4,4,4,5,5,5,5,5,4,4,3,4,2,4,4,25,2,5,4,17,0
0,928,57,1,4,4,4,4,3,4,2,2,2,2,1,1,3,3,3,4,3,4,3,3,5,5,2,1,2,5,2,6,2,1,5,4,5,6,5,2,2,3,6,6,7,6,7,6,6,7,5,6,6,6,6,6,6,6,6,5,3,4,4,1,4,5,4,4,4,4,4,4,4,2,3,1,3,1,3,3,49,1,6,6,34,1
1,1855,58,1,2,4,3,4,2,2,4,4,1,1,3,4,2,1,1,2,1,4,2,2,2,5,1,2,1,6,2,5,3,4,3,4,6,7,5,3,1,1,5,4,5,4,1,2,3,5,1,2,2,7,6,5,6,5,1,1,3,3,4,3,4,5,4,5,3,5,5,5,3,2,2,1,1,1,2,3,25,1,5,2,32,1
1,3195,59,1,4,4,4,3,3,4,1,2,1,2,1,2,3,3,2,3,2,2,3,2,6,7,2,1,6,7,4,6,1,1,6,4,7,6,7,1,5,2,7,7,7,7,7,7,7,7,7,7,7,4,6,4,6,7,7,6,5,5,3,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,53,1,4,5,27,1
1,489,60,1,3,3,3,3,3,2,2,3,4,1,3,2,2,4,1,1,3,2,4,2,3,5,2,5,3,5,1,5,1,1,6,4,6,6,5,1,3,2,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,6,4,4,3,1,5,5,3,5,5,5,5,5,5,1,4,3,4,1,1,5,31,1,6,6,11,1
