s.t1,s.t2,s.t3,case,bed
-0.19208850022345605,-0.05701902628434001,-0.440149203861635,190,1
0.1958435453015069,NA,0.5446444193434347,191,0
-0.0493109393785207,NA,NA,192,0
-0.13070966850792612,-0.3811216028269906,-0.2307709511829708,193,1
0.06348618212501905,NA,NA,194,0
0.43000919630228734,0.11141665478912878,NA,195,0
0.20204131917111123,-0.1659392308691553,0.07158715423056326,197,0
-0.17170079687808215,NA,NA,198,1
0.4941779815483431,0.6078584168451194,0.33423826847626636,199,1
-0.8501823322951882,-0.09310243437186082,-0.6295346732177495,200,1
-0.9399826960931321,-0.3116044008473712,-0.2341215798230586,201,1
0.4143323741989586,0.40178670476112355,0.4075516394241695,202,0
-0.08426812691848874,NA,NA,204,0
0.2472047911221006,0.2747445947275175,NA,205,0
0.3218296042014944,NA,NA,206,1
0.40526760076043833,0.6433251665997131,0.7758588525875783,208,0
-0.12824094157548202,-0.5892324167688805,-0.6762950693402519,209,0
0.01234407303006053,-0.017385979639047304,-0.27932438183699104,211,0
0.12884126172356813,NA,NA,212,1
-0.33049043780040743,NA,NA,213,1
0.8843457397534557,NA,NA,214,1
-0.2120335151231848,NA,NA,215,0
0.019837537060330344,-0.39522166021653804,0.11262348799599117,216,0
-0.3035245206706234,NA,NA,217,1
0.7413208657927464,NA,NA,218,0
-0.15948778176804917,-0.03622114728883255,-0.11810832667503017,219,0
0.9285166368872054,0.4772235193876399,NA,220,1
0.21317047338282372,NA,NA,221,1
0.5508108928175488,NA,NA,222,1
0.6386424991163294,0.787573568727492,NA,223,1
-0.06741281010918825,NA,NA,224,1
-0.08705205065069456,-0.07078238314684629,-0.32094988888766945,225,1
0.12303448939698783,0.5440011197847837,0.6416408971043237,226,1
-0.28869721944581467,NA,NA,227,0
0.19643939360605056,NA,NA,228,1
0.39538537751365094,NA,NA,229,1
0.5761143901323187,NA,NA,230,1
0.6709080433996607,NA,NA,231,0
-0.32032915307524357,NA,NA,232,1
0.6672492758717143,0.6651774870769989,0.6741399775060378,233,0
-0.5571240180043133,-0.7534877692140276,-1.255782897373165,234,1
0.43407394598156757,0.5256444304497068,NA,235,0
-1.1403097760395604,-1.1333680733593958,NA,236,1
0.7170315574766296,NA,NA,237,0
0.4059107629181176,NA,NA,238,1
NA,-0.7643199713863335,-1.2990957710258864,19,0
NA,0.30335821063843044,NA,42,0
NA,0.1283667047171866,0.08785239318126056,203,0
NA,-1.2220229839853434,NA,48,0
NA,-0.4373181105967795,-0.8639055174010666,103,1
NA,-0.29867407452401484,NA,6,1
NA,0.8714041966688495,0.6574688304351075,59,1
NA,NA,-0.24878606315312124,2,1
NA,NA,-0.8715253475381026,196,1
